restaurant_name,review_text
Bambou,"We were craving something different from the usual bouchon fare and this delivered brilliantly. We were made to feel hurried throughout the meal, particularly toward the end. Three stars feels right - solid, reliable, but not exceptional."
Bambou,Walked in without a reservation on a Tuesday and they found us a table quickly. The miso soup was made from dashi that you could tell had been prepared with care. We had a dietary requirement and the kitchen adapted beautifully without making it feel like a chore. Do not miss it if you are anywhere near Lyon.
Bambou,The prices are premium but the quality did not justify the cost at all. The sushi rice was the wrong temperature and the fish had been cut too thickly. The wine we were served was not the one we ordered and it took three requests to correct.
Bambou,"The teppanyaki show was entertaining and the food was just as impressive. The bill contained items we had not ordered and required a lengthy discussion to resolve. Not a disappointment exactly, just not the revelation we hoped it would be."
Bambou,Not recommended for anyone familiar with real Asian cooking - this misses the mark. The sushi rice was the wrong temperature and the fish had been cut too thickly. The heating in the room was insufficient and we spent much of the meal feeling cold.
Bambou,Lyon is not short on great food but this brings something entirely different to the table. We noticed the same dish on neighbouring tables looked far better than what we received. Some genuinely good moments but enough to give us pause before booking again.
Bambou,We shared several dishes and every single one was a highlight. The laksa was the real deal - coconut-rich broth with perfectly cooked noodles. Our waiter was enthusiastic about the menu and his suggestions turned out to be excellent. A wonderful evening from start to finish. Highly recommended.
Bambou,The flavours here are authentic and bold - a lovely change of pace in Lyon. Nobody came to check on us between ordering and the arrival of the mains. Some genuinely good moments but enough to give us pause before booking again.
Bambou,"The ramen broth had clearly been simmering for hours - rich, deep and wonderful. The heating in the room was insufficient and we spent much of the meal feeling cold. Worth a visit but perhaps not worth crossing the city for."
Bambou,"Lyon is not short on great food but this brings something entirely different to the table. The bill contained items we had not ordered and required a lengthy discussion to resolve. Worth trying once, though we are not certain we would return."
Bambou,"I expected bold, vibrant flavours and received something quite tepid and forgettable. Several dishes arrived at different times, leaving one of our party waiting while the other ate. We have given this place multiple chances now and the result is always the same."
Bambou,We had a dietary requirement and the kitchen adapted beautifully without making it feel like a chore. We shared several dishes and every single one was a highlight. The spring rolls shattered when bitten and the filling was fragrant and light.
Bambou,"The ramen broth had clearly been simmering for hours - rich, deep and wonderful. The miso soup was made from dashi that you could tell had been prepared with care. The set lunch is extraordinary value for what you receive. We will absolutely return on our next visit to Lyon."
Bambou,Rare to find this level of authenticity in a French city - hugely impressive. The teppanyaki vegetables were cooked over high heat and retained a wonderful bite. Five stars without a moment's hesitation.
Bambou,"Rare to find this level of authenticity in a French city - hugely impressive. Several dishes arrived at different times, leaving one of our party waiting while the other ate. A competent meal without anything memorable to make it truly stand out."
Bambou,"Elegant interior, thoughtful service and food that made us slow down and savour every bite. The pace of service was painfully slow despite the kitchen clearly not being under pressure. The highs were high enough to consider a return; the lows gave us reason to hesitate."
Bambou De Lyon,We have eaten authentic Asian food across the city and this does not compare. The miso had been watered down beyond usefulness. The table we were given was too close to the kitchen and the noise was intrusive. A restaurant resting on its reputation rather than earning it on the night.
Bambou De Lyon,Long waits between courses with no explanation or apology from the staff. The pace of service was painfully slow despite the kitchen clearly not being under pressure. Save your money and your evening for somewhere that will value both.
Bambou De Lyon,"We were a group of six and everyone around the table was delighted with their dishes. When we raised our concerns, the response from the manager was indifferent at best. Some genuinely good moments but enough to give us pause before booking again."
Bambou De Lyon,Not recommended for anyone familiar with real Asian cooking - this misses the mark. The table we were given was too close to the kitchen and the noise was intrusive. Not the evening we had been looking forward to.
Bambou De Lyon,Walked in without a reservation on a Tuesday and they found us a table quickly. Our waiter was enthusiastic about the menu and his suggestions turned out to be excellent. The char siu arrived with a lacquered glaze and beautifully caramelised edges.
Bambou De Lyon,"The dumpling wrappers were gummy and thick - a basic technical failure. The miso had been watered down beyond usefulness. We noticed the same dish on neighbouring tables looked far better than what we received. At these prices, the standard needs to be significantly higher."
Bambou De Lyon,Long waits between courses with no explanation or apology from the staff. The ramen broth had clearly been made from a concentrate rather than proper stock. One poor visit can be forgiven but this was a pattern of issues we could not overlook.
Bambou De Lyon,Lyon is not short on great food but this brings something entirely different to the table. The set menu offered very poor value given the size of the portions. A competent meal without anything memorable to make it truly stand out.
Bambou De Lyon,Lyon is not short on great food but this brings something entirely different to the table. Nobody came to check on us between ordering and the arrival of the mains. The highs were high enough to consider a return; the lows gave us reason to hesitate.
Bambou De Lyon,Not recommended for anyone familiar with real Asian cooking - this misses the mark. The bao bun dough had not proved properly and was dense rather than pillowy. Not somewhere we would rush back to given the number of better options nearby.
Bambou De Lyon,Came here after seeing it recommended online and the reality matched the expectation perfectly. The spring rolls shattered when bitten and the filling was fragrant and light. Everything about it was right. A true gem of the Lyon dining scene.
Bambou De Lyon,We were a group of six and everyone around the table was delighted with their dishes. Every dish arrived beautifully presented without feeling overthought or fussy. The char siu arrived with a lacquered glaze and beautifully caramelised edges.
Bambou De Lyon,"Finally, a place in Lyon that does dim sum properly. The teppanyaki vegetables were cooked over high heat and retained a wonderful bite. Book ahead - this place deserves to be busy and it is."
Bambou De Lyon,"Walked in without a reservation on a Tuesday and they found us a table quickly. When we raised our concerns, the response from the manager was indifferent at best. Some genuinely good moments but enough to give us pause before booking again."
Bambou De Lyon,The teppanyaki show was entertaining and the food was just as impressive. We had a dietary requirement and the kitchen adapted beautifully without making it feel like a chore. The gyoza had a perfect crispy base and the filling was fragrant and well-balanced.
Bambou De Lyon,Rare to find this level of authenticity in a French city - hugely impressive. The spring rolls shattered when bitten and the filling was fragrant and light. One of the standout meals of our trip - possibly the best.
Bambou De Lyon,Walked in without a reservation on a Tuesday and they found us a table quickly. The bill contained items we had not ordered and required a lengthy discussion to resolve. Worth a visit but perhaps not worth crossing the city for.
Bambou De Lyon,The ramen broth tasted like it came from a packet rather than hours of cooking. The bao bun dough had not proved properly and was dense rather than pillowy. The wine we were served was not the one we ordered and it took three requests to correct. Save your money and your evening for somewhere that will value both.
Bambou L Lyon,"We were a group of six and everyone around the table was delighted with their dishes. Basic errors - wrong dishes, forgotten items - suggest training issues in the front of house. Worth a visit but perhaps not worth crossing the city for."
Bambou L Lyon,"We shared several dishes and every single one was a highlight. Small details impressed us: the quality of the butter, the temperature of the plates, the attentiveness without intrusion. The char siu arrived with a lacquered glaze and beautifully caramelised edges."
Bambou L Lyon,"I expected bold, vibrant flavours and received something quite tepid and forgettable. The sushi rice was the wrong temperature and the fish had been cut too thickly. Perhaps we caught them on a bad night, but we are not inclined to find out."
Bambou L Lyon,We were a group of six and everyone around the table was delighted with their dishes. Our waiter was enthusiastic about the menu and his suggestions turned out to be excellent. Already recommended to two friends who are visiting later this year.
Bambou L Lyon,"The teppanyaki show was entertaining and the food was just as impressive. The laksa was the real deal - coconut-rich broth with perfectly cooked noodles. The chef came out to check on us at the end of the meal, which was a charming touch."
Bambou L Lyon,Walked in without a reservation on a Tuesday and they found us a table quickly. The sommelier recommended an expensive wine that did not suit the food at all. We would come back but would lower our expectations from those set by the reviews.
Bambou L Lyon,"The ramen broth had clearly been simmering for hours - rich, deep and wonderful. The ramen broth had depth that only comes from a proper twelve-hour bone stock. The set lunch is extraordinary value for what you receive."
Bambou L Lyon,"Elegant interior, thoughtful service and food that made us slow down and savour every bite. The room has real warmth to it - a combination of the lighting, the décor and the noise level. The miso soup was made from dashi that you could tell had been prepared with care."
Bambou L Lyon,"I expected bold, vibrant flavours and received something quite tepid and forgettable. The dumplings had thick, gummy wrappers and the filling was bland. When we raised our concerns, the response from the manager was indifferent at best."
Bambou L Lyon,"The flavours here are authentic and bold - a lovely change of pace in Lyon. The miso soup was made from dashi that you could tell had been prepared with care. Small details impressed us: the quality of the butter, the temperature of the plates, the attentiveness without intrusion."
Bambou L Lyon,"Elegant interior, thoughtful service and food that made us slow down and savour every bite. The heating in the room was insufficient and we spent much of the meal feeling cold. Worth trying once, though we are not certain we would return."
Bambou L Lyon,Wines by the glass were of an excellent standard and the list had been curated with thought. The flavours here are authentic and bold - a lovely change of pace in Lyon. The gyoza had a perfect crispy base and the filling was fragrant and well-balanced.
Bambou L Lyon,Rare to find this level of authenticity in a French city - hugely impressive. The sommelier recommended an expensive wine that did not suit the food at all. A competent meal without anything memorable to make it truly stand out.
Bambou L Lyon,"The ramen broth had clearly been simmering for hours - rich, deep and wonderful. We noticed the same dish on neighbouring tables looked far better than what we received. We would come back but would lower our expectations from those set by the reviews."
Beyrouth,We shared four or five small plates and every single one impressed us. The kitchen's timing was off throughout and mains arrived before the starters were finished. The highs were high enough to consider a return; the lows gave us reason to hesitate.
Beyrouth,The mezze selection here is one of the most generous and flavourful in the city. There is a real sense that the team here take pride in their work without any hint of arrogance. The baba ghanoush had a real smokiness that spoke of genuine grilling over flame.
Beyrouth,"The mezze selection here is one of the most generous and flavourful in the city. There is a real sense that the team here take pride in their work without any hint of arrogance. The kanafeh for dessert was warm, sticky and unlike anything else on offer in Lyon."
Beyrouth,This place transports you somewhere warmer the moment you walk through the door. The manaoushe came straight from the oven and the za'atar was fragrant and generous. One of the standout meals of our trip - possibly the best.
Beyrouth,"Warm, fragrant and deeply satisfying - this restaurant took us straight to Beirut. The dessert course was a genuine highlight - creative without being theatrical. The slow-roasted lamb shoulder fell from the bone and was magnificent."
Beyrouth,"Rich, complex flavours that develop on the palate. An absolute treat. The slow-roasted lamb shoulder fell from the bone and was magnificent. Already recommended to two friends who are visiting later this year."
Beyrouth,"Warm, fragrant and deeply satisfying - this restaurant took us straight to Beirut. The fattoush was bright and crisp with a beautifully balanced pomegranate dressing. Small details impressed us: the quality of the butter, the temperature of the plates, the attentiveness without intrusion."
Beyrouth,"We went for the set menu and it was an incredibly generous spread. The chef came out to check on us at the end of the meal, which was a charming touch. An experience that reminded us why we love eating out."
Beyrouth,The hummus alone is worth the visit: silky smooth with excellent quality olive oil. The kitchen's timing was off throughout and mains arrived before the starters were finished. Worth a visit but perhaps not worth crossing the city for.
Beyrouth,"The lamb dishes here are exceptional - slow-cooked and falling apart beautifully. The room was noisy to the point where conversation became genuinely difficult. Worth trying once, though we are not certain we would return."
Beyrouth,The bread arrives hot from the oven and the dips are outstanding. The kibbeh were perfectly spiced and not the least bit heavy. One of the standout meals of our trip - possibly the best.
Beyrouth,We shared four or five small plates and every single one impressed us. The pace of service was painfully slow despite the kitchen clearly not being under pressure. A competent meal without anything memorable to make it truly stand out.
Beyrouth,The pacing of the meal was exactly right - unhurried but never dragging. The hummus alone is worth the visit: silky smooth with excellent quality olive oil. The kibbeh were perfectly spiced and not the least bit heavy.
Beyrouth,"A vibrant and welcoming room with food that is packed with character. The kanafeh for dessert was warm, sticky and unlike anything else on offer in Lyon. We left full, happy and already planning our return."
Beyrouth,"A fantastic spot for a group meal - the sharing format works beautifully here. The pace of service was painfully slow despite the kitchen clearly not being under pressure. Worth trying once, though we are not certain we would return."
Beyrouth,We went for the set menu and it was an incredibly generous spread. The kitchen's timing was off throughout and mains arrived before the starters were finished. Some genuinely good moments but enough to give us pause before booking again.
Beyrouth,"Rich, complex flavours that develop on the palate. An absolute treat. The wine list is compact but very well chosen with some excellent value at the mid-price level. The halloumi was grilled beautifully - squeaky, salty and perfectly charred."
Beyrouth,The staff were knowledgeable about every dish and happy to guide first-timers through the menu. The wine we were served was not the one we ordered and it took three requests to correct. A competent meal without anything memorable to make it truly stand out.
Beyrouth,A vibrant and welcoming room with food that is packed with character. The slow-roasted lamb shoulder fell from the bone and was magnificent. The terrace was perfect on a warm Lyon evening - one of the best spots in the city.
Beyrouth,We went for the set menu and it was an incredibly generous spread. The bill contained items we had not ordered and required a lengthy discussion to resolve. Worth a visit but perhaps not worth crossing the city for.
Beyrouth,Our waiter was enthusiastic about the menu and his suggestions turned out to be excellent. A vibrant and welcoming room with food that is packed with character. The kibbeh were perfectly spiced and not the least bit heavy.
Beyrouth,"The mezze selection here is one of the most generous and flavourful in the city. When we raised our concerns, the response from the manager was indifferent at best. Three stars feels right - solid, reliable, but not exceptional."
Beyrouth,A fantastic spot for a group meal - the sharing format works beautifully here. The wine we were served was not the one we ordered and it took three requests to correct. A competent meal without anything memorable to make it truly stand out.
Beyrouth,"The hummus alone is worth the visit: silky smooth with excellent quality olive oil. The sommelier recommended an expensive wine that did not suit the food at all. Not a disappointment exactly, just not the revelation we hoped it would be."
Beyrouth,This place transports you somewhere warmer the moment you walk through the door. The kibbeh were perfectly spiced and not the least bit heavy. The service struck the perfect balance - present when needed but never hovering unnecessarily. One of the standout meals of our trip - possibly the best.
Beyrouth,"Rich, complex flavours that develop on the palate. An absolute treat. The wine we were served was not the one we ordered and it took three requests to correct. Worth trying once, though we are not certain we would return."
Beyrouth,We have tried several Middle Eastern restaurants in Lyon and this is comfortably the best. The table we were given was too close to the kitchen and the noise was intrusive. We would come back but would lower our expectations from those set by the reviews.
Beyrouth,The wine list is compact but very well chosen with some excellent value at the mid-price level. Came here on the recommendation of a Lebanese colleague and the food did not disappoint. The baba ghanoush had a real smokiness that spoke of genuine grilling over flame.
Beyrouth,"Rich, complex flavours that develop on the palate. An absolute treat. The fattoush was bright and crisp with a beautifully balanced pomegranate dressing. Our waiter was enthusiastic about the menu and his suggestions turned out to be excellent. Exactly what a great restaurant should be. Cannot wait to go back."
Beyrouth,"We shared four or five small plates and every single one impressed us. Several dishes arrived at different times, leaving one of our party waiting while the other ate. Three stars feels right - solid, reliable, but not exceptional."
Beyrouth,A fantastic spot for a group meal - the sharing format works beautifully here. Nobody came to check on us between ordering and the arrival of the mains. We would come back but would lower our expectations from those set by the reviews.
Beyrouth,"Rich, complex flavours that develop on the palate. An absolute treat. The kitchen showed real understanding of flavour balance across every course. Five stars without a moment's hesitation."
Beyrouth De Lyon Lyon,"The mezze selection here is one of the most generous and flavourful in the city. The set menu offered very poor value given the size of the portions. Three stars feels right - solid, reliable, but not exceptional."
Beyrouth De Lyon Lyon,"A fantastic spot for a group meal - the sharing format works beautifully here. The slow-roasted lamb shoulder fell from the bone and was magnificent. Small details impressed us: the quality of the butter, the temperature of the plates, the attentiveness without intrusion."
Beyrouth De Lyon Lyon,A fantastic spot for a group meal - the sharing format works beautifully here. Every dish arrived beautifully presented without feeling overthought or fussy. Already recommended to two friends who are visiting later this year.
Beyrouth De Lyon Lyon,"We shared four or five small plates and every single one impressed us. We were made to feel hurried throughout the meal, particularly toward the end. Worth a visit but perhaps not worth crossing the city for."
Beyrouth De Lyon Lyon,The lamb dishes here are exceptional - slow-cooked and falling apart beautifully. The bread course alone would have been worth the visit. The slow-roasted lamb shoulder fell from the bone and was magnificent.
Beyrouth De Lyon Lyon,"We asked for a recommendation on the cheese and were guided to something we had never tried before. We went for the set menu and it was an incredibly generous spread. The fatteh was a marvellous combination of crispy bread, yoghurt and chickpeas."
Beyrouth De Lyon Lyon,"We have tried several Middle Eastern restaurants in Lyon and this is comfortably the best. The halloumi was grilled beautifully - squeaky, salty and perfectly charred. The room has real warmth to it - a combination of the lighting, the décor and the noise level. This is the kind of place that stays in your memory long after the plates are cleared."
Beyrouth De Lyon Lyon,"This place transports you somewhere warmer the moment you walk through the door. The heating in the room was insufficient and we spent much of the meal feeling cold. Three stars feels right - solid, reliable, but not exceptional."
Beyrouth De Lyon Lyon,"The mezze selection here is one of the most generous and flavourful in the city. Several dishes arrived at different times, leaving one of our party waiting while the other ate. A competent meal without anything memorable to make it truly stand out."
Beyrouth De Lyon Lyon,"The hummus alone is worth the visit: silky smooth with excellent quality olive oil. There is a real sense that the team here take pride in their work without any hint of arrogance. The halloumi was grilled beautifully - squeaky, salty and perfectly charred."
Beyrouth De Lyon Lyon,"A feast for the senses - the spices, the colours, the textures. Wonderful. Nobody came to check on us between ordering and the arrival of the mains. Three stars feels right - solid, reliable, but not exceptional."
Beyrouth De Lyon Lyon,"The staff were knowledgeable about every dish and happy to guide first-timers through the menu. We asked twice for the bread to be replenished and it never arrived. Not a disappointment exactly, just not the revelation we hoped it would be."
Beyrouth De Lyon Lyon,"A feast for the senses - the spices, the colours, the textures. Wonderful. The kibbeh were perfectly spiced and not the least bit heavy. Do not miss it if you are anywhere near Lyon."
Beyrouth De Lyon Lyon,We shared four or five small plates and every single one impressed us. There was a lovely energy in the room - other diners clearly as happy as we were. The baba ghanoush had a real smokiness that spoke of genuine grilling over flame.
Beyrouth De Lyon Lyon,This place transports you somewhere warmer the moment you walk through the door. What struck us most was the consistency - every component of every dish was at the same high standard. This is the kind of place that stays in your memory long after the plates are cleared.
Beyrouth De Lyon Lyon,"Warm, fragrant and deeply satisfying - this restaurant took us straight to Beirut. We asked twice for the bread to be replenished and it never arrived. Three stars feels right - solid, reliable, but not exceptional."
Beyrouth De Lyon Lyon,"We went for the set menu and it was an incredibly generous spread. The halloumi was grilled beautifully - squeaky, salty and perfectly charred. Every dish arrived beautifully presented without feeling overthought or fussy. We left full, happy and already planning our return."
Beyrouth De Lyon Lyon,"Came here on the recommendation of a Lebanese colleague and the food did not disappoint. The fatteh was a marvellous combination of crispy bread, yoghurt and chickpeas. We left full, happy and already planning our return."
Beyrouth De Lyon Lyon,"The hummus alone is worth the visit: silky smooth with excellent quality olive oil. The fatteh was a marvellous combination of crispy bread, yoghurt and chickpeas. We asked for a recommendation on the cheese and were guided to something we had never tried before. Do not miss it if you are anywhere near Lyon."
Beyrouth De Lyon Lyon,The staff were knowledgeable about every dish and happy to guide first-timers through the menu. The set menu offered very poor value given the size of the portions. A competent meal without anything memorable to make it truly stand out.
Beyrouth L,"Came here on the recommendation of a Lebanese colleague and the food did not disappoint. When we raised our concerns, the response from the manager was indifferent at best. A competent meal without anything memorable to make it truly stand out."
Beyrouth L,"A vibrant and welcoming room with food that is packed with character. We were made to feel hurried throughout the meal, particularly toward the end. Not a disappointment exactly, just not the revelation we hoped it would be."
Beyrouth L,A fantastic spot for a group meal - the sharing format works beautifully here. We asked twice for the bread to be replenished and it never arrived. Worth a visit but perhaps not worth crossing the city for.
Beyrouth L,"The bread arrives hot from the oven and the dips are outstanding. The slow-roasted lamb shoulder fell from the bone and was magnificent. Even the amuse-bouche set the tone for what was to follow - precise, interesting and generous. We left already looking at dates for a return visit."
Beyrouth L,The hummus alone is worth the visit: silky smooth with excellent quality olive oil. The room was noisy to the point where conversation became genuinely difficult. A competent meal without anything memorable to make it truly stand out.
Beyrouth L,This place transports you somewhere warmer the moment you walk through the door. The fattoush was bright and crisp with a beautifully balanced pomegranate dressing. The dessert course was a genuine highlight - creative without being theatrical.
Beyrouth L,We went for the set menu and it was an incredibly generous spread. The slow-roasted lamb shoulder fell from the bone and was magnificent. The bread course alone would have been worth the visit.
Beyrouth Lyon,The mezze selection here is one of the most generous and flavourful in the city. Our waiter disappeared for long stretches and refills were never offered proactively. The highs were high enough to consider a return; the lows gave us reason to hesitate.
Beyrouth Lyon,The bread arrives hot from the oven and the dips are outstanding. The room was noisy to the point where conversation became genuinely difficult. Worth a visit but perhaps not worth crossing the city for.
Beyrouth Lyon,Came here on the recommendation of a Lebanese colleague and the food did not disappoint. We had a dietary requirement and the kitchen adapted beautifully without making it feel like a chore. Do not miss it if you are anywhere near Lyon.
Beyrouth Lyon,Came here on the recommendation of a Lebanese colleague and the food did not disappoint. The kitchen showed real understanding of flavour balance across every course. The manaoushe came straight from the oven and the za'atar was fragrant and generous.
Beyrouth Lyon,"A fantastic spot for a group meal - the sharing format works beautifully here. The slow-roasted lamb shoulder fell from the bone and was magnificent. Small details impressed us: the quality of the butter, the temperature of the plates, the attentiveness without intrusion. Five stars without a moment's hesitation."
Beyrouth Lyon,Expensive for what it is and the portions have shrunk since our last visit. The hummus had a chalky aftertaste that suggested it had not been properly processed. The sommelier recommended an expensive wine that did not suit the food at all.
Beyrouth Lyon,"Rich, complex flavours that develop on the palate. An absolute treat. Every dish arrived beautifully presented without feeling overthought or fussy. A wonderful evening from start to finish. Highly recommended."
Beyrouth Lyon,We went for the set menu and it was an incredibly generous spread. The fattoush was bright and crisp with a beautifully balanced pomegranate dressing. Everything about it was right. A true gem of the Lyon dining scene.
Beyrouth Lyon,"We have tried several Middle Eastern restaurants in Lyon and this is comfortably the best. The fatteh was a marvellous combination of crispy bread, yoghurt and chickpeas. The sommelier's pairings were inspired and transformed the meal into something really special."
Beyrouth Lyon,The staff were knowledgeable about every dish and happy to guide first-timers through the menu. We noticed the same dish on neighbouring tables looked far better than what we received. Worth a visit but perhaps not worth crossing the city for.
Beyrouth Lyon,"A vibrant and welcoming room with food that is packed with character. Basic errors - wrong dishes, forgotten items - suggest training issues in the front of house. A competent meal without anything memorable to make it truly stand out."
Beyrouth Lyon,"The sommelier's pairings were inspired and transformed the meal into something really special. A fantastic spot for a group meal - the sharing format works beautifully here. The kanafeh for dessert was warm, sticky and unlike anything else on offer in Lyon."
Beyrouth Lyon,"The room has real warmth to it - a combination of the lighting, the décor and the noise level. The bread arrives hot from the oven and the dips are outstanding. The halloumi was grilled beautifully - squeaky, salty and perfectly charred."
Beyrouth Lyon,"The lamb dishes here are exceptional - slow-cooked and falling apart beautifully. The kibbeh were perfectly spiced and not the least bit heavy. The chef came out to check on us at the end of the meal, which was a charming touch."
Beyrouth Lyon,We shared four or five small plates and every single one impressed us. The heating in the room was insufficient and we spent much of the meal feeling cold. We would come back but would lower our expectations from those set by the reviews.
Beyrouth Lyon,"The staff were knowledgeable about every dish and happy to guide first-timers through the menu. We were made to feel hurried throughout the meal, particularly toward the end. Some genuinely good moments but enough to give us pause before booking again."
Beyrouth Lyon,"Came here on the recommendation of a Lebanese colleague and the food did not disappoint. Nobody came to check on us between ordering and the arrival of the mains. Three stars feels right - solid, reliable, but not exceptional."
Beyrouth Lyon,"This place transports you somewhere warmer the moment you walk through the door. The fatteh was a marvellous combination of crispy bread, yoghurt and chickpeas. Even the amuse-bouche set the tone for what was to follow - precise, interesting and generous."
Beyrouth Lyon,"We have tried several Middle Eastern restaurants in Lyon and this is comfortably the best. Nobody came to check on us between ordering and the arrival of the mains. Not a disappointment exactly, just not the revelation we hoped it would be."
Beyrouth Lyon,"Rich, complex flavours that develop on the palate. An absolute treat. There is a real sense that the team here take pride in their work without any hint of arrogance. Do not miss it if you are anywhere near Lyon."
Beyrouth Lyon,The mezze selection here is one of the most generous and flavourful in the city. The pacing of the meal was exactly right - unhurried but never dragging. Do not miss it if you are anywhere near Lyon.
Beyrouth Lyon,This place transports you somewhere warmer the moment you walk through the door. The slow-roasted lamb shoulder fell from the bone and was magnificent. What struck us most was the consistency - every component of every dish was at the same high standard.
Beyrouth Lyon,"A vibrant and welcoming room with food that is packed with character. Small details impressed us: the quality of the butter, the temperature of the plates, the attentiveness without intrusion. We will absolutely return on our next visit to Lyon."
Beyrouth Lyon,The lamb dishes here are exceptional - slow-cooked and falling apart beautifully. The dessert course was a genuine highlight - creative without being theatrical. Five stars without a moment's hesitation.
Beyrouth Lyon,We left hungry and somewhat irritated - a combination no restaurant should produce. The wine we were served was not the one we ordered and it took three requests to correct. The kibbeh were greasy with poorly balanced spicing.
Bistrot Cuisine Du Comptoir,The terrace was bathed in evening light and the atmosphere was simply magical. The quenelles were as light as air - a technically demanding dish executed perfectly. Wines by the glass were of an excellent standard and the list had been curated with thought. One of the standout meals of our trip - possibly the best.
Bistrot Cuisine Du Comptoir,"Lyon is famous for its food culture, and this restaurant embodies everything that reputation stands for. The wine we were served was not the one we ordered and it took three requests to correct. Worth a visit but perhaps not worth crossing the city for."
Bistrot Cuisine Du Comptoir,My colleague recommended this place and it absolutely lived up to the hype. Our waiter disappeared for long stretches and refills were never offered proactively. A competent meal without anything memorable to make it truly stand out.
Bistrot Cuisine Du Comptoir,"The chef came out to check on us at the end of the meal, which was a charming touch. Lyon is famous for its food culture, and this restaurant embodies everything that reputation stands for. The pike quenelle with Nantua sauce was a love letter to the Lyon culinary tradition."
Bistrot Cuisine Du Comptoir,"Wines by the glass were of an excellent standard and the list had been curated with thought. A charming neighbourhood restaurant that punches well above its weight. The andouillette was not for the faint-hearted but for those who appreciate it, sublime."
Bistrot Cuisine Du Comptoir,Found this tucked away on a side street and it turned out to be a real find. The room was noisy to the point where conversation became genuinely difficult. Worth a visit but perhaps not worth crossing the city for.
